name_unoriented,determinant,num_crossings,matrix_zero,components,jones_factorable
L12a227,0,12,True,2,
L12a228,0,12,False,2,
L12a229,0,12,False,2,
L12a230,0,12,False,2,
L12a231,0,12,False,2,
L12a232,0,12,False,2,
L12a233,0,12,False,2,
L12a234,0,12,False,2,
L12a235,0,12,True,2,
L12a236,0,12,True,2,
L12a237,0,12,True,2,
L12a238,0,12,True,2,
L12a239,0,12,False,2,
L12a240,0,12,False,2,
L12a241,0,12,False,2,
L12a242,0,12,True,2,
L12a243,0,12,False,2,
L12a244,0,12,False,2,
L12a245,0,12,False,2,
L12a246,0,12,True,2,
L12a247,0,12,True,2,
L12a248,0,12,True,2,
L12a249,0,12,True,2,
L12a250,0,12,False,2,
L12a251,0,12,False,2,
L12a252,0,12,True,2,
L12a253,0,12,True,2,
L12a254,0,12,True,2,
L12a255,0,12,True,2,
L12a256,0,12,True,2,
L12a257,0,12,True,2,
L12a258,0,12,True,2,
L12a259,0,12,True,2,
L12a260,0,12,False,2,
L12a261,0,12,True,2,
L12a262,0,12,True,2,
L12a263,0,12,True,2,
L12a264,0,12,True,2,
L12a265,0,12,True,2,
L12a266,0,12,True,2,
L12a267,0,12,True,2,
L12a268,0,12,False,2,
L12a269,0,12,False,2,
L12a270,0,12,False,2,
L12a271,0,12,False,2,
L12a272,0,12,False,2,
L12a273,0,12,False,2,
L12a274,0,12,True,2,
L12a275,0,12,True,2,
L12a276,0,12,True,2,
L12a277,0,12,True,2,
L12a278,0,12,False,2,
L12a279,0,12,False,2,
L12a280,0,12,False,2,
L12a281,0,12,False,2,
L12a282,0,12,True,2,
L12a283,0,12,True,2,
L12a284,0,12,True,2,
L12a285,0,12,True,2,
L12a286,0,12,True,2,
L12a287,0,12,True,2,
L12a288,0,12,False,2,
L12a289,0,12,False,2,
L12a290,0,12,True,2,
L12a291,0,12,True,2,
L12a292,0,12,True,2,
L12a293,0,12,True,2,
L12a294,0,12,True,2,
L12a295,0,12,False,2,
L12a296,0,12,False,2,
L12a297,0,12,True,2,
L12a298,0,12,True,2,
L12a299,0,12,False,2,
L12a300,0,12,False,2,
L12a301,0,12,True,2,
L12a302,0,12,False,2,
L12a303,0,12,False,2,
L12a304,0,12,False,2,
L12a305,0,12,False,2,
L12a306,0,12,False,2,
L12a307,0,12,True,2,
L12a308,0,12,True,2,
L12a309,0,12,True,2,
L12a310,0,12,True,2,
L12a311,0,12,True,2,
L12a312,0,12,True,2,
L12a313,0,12,True,2,
L12a314,0,12,True,2,
L12a315,0,12,True,2,
L12a316,0,12,True,2,
L12a317,0,12,True,2,
L12a318,0,12,True,2,
L12a319,0,12,True,2,
L12a320,0,12,True,2,
L12a321,0,12,False,2,
L12a322,0,12,False,2,
L12a323,0,12,False,2,
L12a324,0,12,False,2,
L12a325,0,12,False,2,
L12a326,0,12,False,2,
L12a327,0,12,False,2,
L12a328,0,12,False,2,
L12a329,0,12,False,2,
L12a330,0,12,False,2,
L12a331,0,12,False,2,
L12a332,0,12,True,2,
L12a333,0,12,True,2,
L12a334,0,12,True,2,
L12a335,0,12,True,2,
L12a336,0,12,True,2,
L12a337,0,12,True,2,
L12a338,0,12,True,2,
L12a339,0,12,True,2,
L12a340,0,12,True,2,
L12a341,0,12,False,2,
L12a342,0,12,False,2,
L12a343,0,12,False,2,
L12a344,0,12,True,2,
L12a345,0,12,True,2,
L12a346,0,12,True,2,
L12a347,0,12,False,2,
L12a348,0,12,False,2,
L12a349,0,12,False,2,
L12a350,0,12,True,2,
L12a351,0,12,False,2,
L12a352,0,12,False,2,
L12a353,0,12,True,2,
L12a354,0,12,False,2,
L12a355,0,12,False,2,
L12a356,0,12,True,2,
L12a357,0,12,True,2,
