,name_unoriented,matrix_zero
954,L10n50,False
956,L10n51,False
958,L10n52,False
960,L10n53,False
962,L10n54,False
964,L10n55,False
966,L10n56,True
968,L10n57,True
970,L10n58,True
972,L10n59,True
974,L10n60,False
976,L10n61,False
978,L10n62,True
980,L10n63,False
982,L10n64,False
984,L10n65,False
988,L10n66,False
992,L10n67,False
996,L10n68,False
1000,L10n69,False
1004,L10n70,False
1008,L10n71,False
1012,L10n72,False
1016,L10n73,False
1020,L10n74,False
1024,L10n75,False
1028,L10n76,False
1032,L10n77,False
1036,L10n78,False
1040,L10n79,False
1044,L10n80,False
1048,L10n81,False
1052,L10n82,False
1056,L10n83,False
1060,L10n84,False
1064,L10n85,False
1068,L10n86,False
1072,L10n87,False
1076,L10n88,False
1080,L10n89,False
1084,L10n90,False
1088,L10n91,False
1092,L10n92,False
1096,L10n93,False
1100,L10n94,False
1104,L10n95,False
1108,L10n96,False
1116,L10n97,False
1124,L10n98,False
1132,L10n99,False
1140,L10n100,False
1148,L10n101,False
1156,L10n102,False
1164,L10n103,False
1172,L10n104,False
1180,L10n105,False
1188,L10n106,False
1196,L10n107,True
1204,L10n108,False
1212,L10n109,False
1220,L10n110,False
1228,L10n111,False
1236,L10n112,False
1252,L10n113,False
1268,L11a1,True
1270,L11a2,True
1272,L11a3,True
1274,L11a4,True
1276,L11a5,True
1278,L11a6,True
1280,L11a7,True
1282,L11a8,True
1284,L11a9,True
1286,L11a10,True
1288,L11a11,True
1290,L11a12,True
1292,L11a13,True
1294,L11a14,True
1296,L11a15,True
1298,L11a16,True
1300,L11a17,True
1302,L11a18,True
1304,L11a19,True
1306,L11a20,True
1308,L11a21,True
1310,L11a22,True
1312,L11a23,False
1314,L11a24,False
1316,L11a25,False
1318,L11a26,False
1320,L11a27,False
1322,L11a28,True
1324,L11a29,True
1326,L11a30,False
1328,L11a31,False
1330,L11a32,False
1332,L11a33,False
1334,L11a34,False
1336,L11a35,False
1338,L11a36,False
1340,L11a37,False
1342,L11a38,True
1344,L11a39,True
1346,L11a40,True
1348,L11a41,True
1350,L11a42,True
1352,L11a43,True
1354,L11a44,True
1356,L11a45,True
1358,L11a46,True
1360,L11a47,True
1362,L11a48,True
1364,L11a49,True
1366,L11a50,True
1368,L11a51,True
1370,L11a52,True
1372,L11a53,True
1374,L11a54,True
1376,L11a55,True
1378,L11a56,True
1380,L11a57,True
1382,L11a58,False
1384,L11a59,False
1386,L11a60,False
1388,L11a61,False
1390,L11a62,False
1392,L11a63,True
1394,L11a64,True
1396,L11a65,True
1398,L11a66,True
1400,L11a67,False
1402,L11a68,True
1404,L11a69,True
1406,L11a70,False
1408,L11a71,False
1410,L11a72,False
1412,L11a73,False
1414,L11a74,False
1416,L11a75,False
1418,L11a76,False
1420,L11a77,True
1422,L11a78,True
1424,L11a79,False
1426,L11a80,False
1428,L11a81,False
1430,L11a82,False
1432,L11a83,True
1434,L11a84,False
1436,L11a85,False
1438,L11a86,False
1440,L11a87,False
1442,L11a88,False
1444,L11a89,False
1446,L11a90,True
1448,L11a91,True
1450,L11a92,False
1452,L11a93,True
1454,L11a94,True
1456,L11a95,True
1458,L11a96,True
1460,L11a97,False
1462,L11a98,False
1464,L11a99,False
1466,L11a100,True
1468,L11a101,True
1470,L11a102,True
1472,L11a103,True
1474,L11a104,False
1476,L11a105,False
1478,L11a106,False
1480,L11a107,False
1482,L11a108,False
1484,L11a109,False
1486,L11a110,True
1488,L11a111,True
1490,L11a112,True
1492,L11a113,False
1494,L11a114,True
1496,L11a115,False
1498,L11a116,False
1500,L11a117,True
1502,L11a118,False
1504,L11a119,False
1506,L11a120,False
1508,L11a121,False
1510,L11a122,False
1512,L11a123,False
1514,L11a124,False
1516,L11a125,True
1518,L11a126,True
1520,L11a127,False
1522,L11a128,False
1524,L11a129,False
1526,L11a130,True
1528,L11a131,True
1530,L11a132,True
1532,L11a133,False
1534,L11a134,False
1536,L11a135,False
1538,L11a136,False
1540,L11a137,False
1542,L11a138,False
1544,L11a139,False
1546,L11a140,False
1548,L11a141,False
1550,L11a142,False
1552,L11a143,False
1554,L11a144,False
1556,L11a145,False
1558,L11a146,False
1560,L11a147,False
1562,L11a148,False
1564,L11a149,False
1566,L11a150,False
1568,L11a151,False
1570,L11a152,False
1572,L11a153,False
1574,L11a154,False
1576,L11a155,False
1578,L11a156,False
1580,L11a157,False
1582,L11a158,False
1584,L11a159,False
1586,L11a160,False
1588,L11a161,False
1590,L11a162,False
1592,L11a163,False
1594,L11a164,False
1596,L11a165,False
1598,L11a166,False
1600,L11a167,False
1602,L11a168,False
1604,L11a169,False
1606,L11a170,False
1608,L11a171,False
1610,L11a172,False
1612,L11a173,False
1614,L11a174,False
1616,L11a175,False
1618,L11a176,False
1620,L11a177,False
1622,L11a178,False
1624,L11a179,False
1626,L11a180,False
1628,L11a181,False
1630,L11a182,False
1632,L11a183,False
1634,L11a184,False
1636,L11a185,False
1638,L11a186,False
1640,L11a187,False
1642,L11a188,False
1644,L11a189,False
1646,L11a190,False
1648,L11a191,False
1650,L11a192,False
1652,L11a193,False
1654,L11a194,False
1656,L11a195,False
1658,L11a196,False
1660,L11a197,False
1662,L11a198,False
1664,L11a199,False
1666,L11a200,False
1668,L11a201,False
1670,L11a202,False
1672,L11a203,False
1674,L11a204,False
1676,L11a205,False
1678,L11a206,False
1680,L11a207,False
1682,L11a208,False
1684,L11a209,False
1686,L11a210,False
1688,L11a211,False
1690,L11a212,False
1692,L11a213,False
1694,L11a214,False
1696,L11a215,False
1698,L11a216,False
1700,L11a217,False
1702,L11a218,False
1704,L11a219,False
1706,L11a220,False
1708,L11a221,False
1710,L11a222,False
1712,L11a223,False
1714,L11a224,False
1716,L11a225,False
1718,L11a226,False
1720,L11a227,False
1722,L11a228,False
1724,L11a229,False
1726,L11a230,False
1728,L11a231,False
1730,L11a232,False
1732,L11a233,False
1734,L11a234,False
1736,L11a235,False
1738,L11a236,False
1740,L11a237,False
1742,L11a238,False
1744,L11a239,False
1746,L11a240,False
1748,L11a241,False
1750,L11a242,False
1752,L11a243,False
1754,L11a244,False
1756,L11a245,False
1758,L11a246,False
1760,L11a247,True
1762,L11a248,True
1764,L11a249,True
1766,L11a250,False
1768,L11a251,True
1770,L11a252,False
1772,L11a253,False
1774,L11a254,False
1776,L11a255,True
1778,L11a256,False
1780,L11a257,False
1782,L11a258,False
1784,L11a259,False
1786,L11a260,False
1788,L11a261,True
1790,L11a262,True
1792,L11a263,False
1794,L11a264,False
1796,L11a265,False
1798,L11a266,False
1800,L11a267,False
1802,L11a268,False
